"waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","current_category","ccc_criterion","ccc_dl_ratio_range","ccc_dl_ratio","cmc_criterion","cmc_dl_ratio_range","cmc_dl_ratio","d_criterion","d_dl_ratio_range","d_dl_ratio","decision_case_number"
"ANACOSTIA LOWER","ARSENIC","TOTAL","ARSENIC",93,2021,52,"2021",64,0,0,52,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,55,2021,52,"2021",0,0,52,40,2021,40,"2021",0,0,40,"4a",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",1
"ANACOSTIA UPPER","ARSENIC","TOTAL","ARSENIC",171,2019,56,"2019",54,0,0,56,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,65,2019,56,"2019",0,0,56,37,2019,37,"2019",0,0,37,"4a",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",1
"BROAD BRANCH","ARSENIC","TOTAL","ARSENIC",37,2021,10,"2021",37,0,0,10,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,16,2021,10,"2021",0,0,10,13,2021,10,"2021",0,0,10,"Not Listed",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",14
"DALECARLIA TRIBUTARY","ARSENIC","TOTAL","ARSENIC",39,2012,0,"Never",39,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",8
"DUMBARTON OAKS","ARSENIC","TOTAL","ARSENIC",37,2021,8,"2021",37,0,0,8,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,16,2021,8,"2021",0,0,8,13,2021,8,"2021",0,0,8,"3",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",7
"FENWICK BRANCH","ARSENIC","TOTAL","ARSENIC",24,2012,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",8
"FORT DUPONT TRIBUTARY","ARSENIC","TOTAL","ARSENIC",45,2021,14,"2021",45,0,0,14,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,22,2021,14,"2021",0,0,14,16,2021,12,"2021",0,0,12,"4a",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",1
"FORT STANTON TRIBUTARY","ARSENIC","TOTAL","ARSENIC",56,2021,14,"2021",55,0,0,14,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,23,2021,14,"2021",0,0,14,16,2021,11,"2021",0,0,11,"4a",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",1
"HICKEY RUN","ARSENIC","TOTAL","ARSENIC",41,2017,1,"2017",41,0,0,1,NA,"Never",NA,"Never",2017-07-28,"2017",0,0,0,3,2017,1,"2017",0,0,1,1,2017,1,"2017",0,0,1,"3",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",11
"KINGMAN LAKE","ARSENIC","TOTAL","ARSENIC",90,2019,22,"2019",51,0,0,22,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,30,2019,22,"2019",0,0,22,15,2019,15,"2019",0,0,15,"4a",NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1",1
